abb,full_name
ALY,alley
ANX,anex
ARC,arcade
AVE,avenue
BYU,bayou
BCH,beach
BND,bend
BLF,bluff
BLFS,bluffs
BTM,bottom
BLVD,boulevard
BR,branch
BRG,bridge
BRK,brook
BRKS,brooks
BG,burg
BGS,burgs
BYP,bypass
CP,camp
CYN,canyon
CPE,cape
CSWY,causeway
CTR,center
CTRS,centers
CIR,circle
CIRS,circles
CLF,cliff
CLFS,cliffs
CLB,club
CMN,common
CMNS,commons
COR,corner
CORS,corners
CRSE,course
CT,court
CTS,courts
CV,cove
CVS,coves
CRK,creek
CRES,crescent
CRST,crest
XING,crossing
XRD,crossroad
XRDS,crossroads
CURV,curve
DL,dale
DM,dam
DV,divide
DR,drive
DRS,drives
EST,estate
ESTS,estates
EXPY,expressway
EXT,extension
EXTS,extensions
FALL,fall
FLS,falls
FRY,ferry
FLD,field
FLDS,fields
FLT,flat
FLTS,flats
FRD,ford
FRDS,fords
FRST,forest
FRG,forge
FRGS,forges
FRK,fork
FRKS,forks
FT,fort
FWY,freeway
GDN,garden
GDNS,gardens
GTWY,gateway
GLN,glen
GLNS,glens
GRN,green
GRNS,greens
GRV,grove
GRVS,groves
HBR,harbor
HBRS,harbors
HVN,haven
HTS,heights
HWY,highway
HL,hill
HLS,hills
HOLW,hollow
INLT,inlet
IS,island
ISS,islands
ISLE,isle
JCT,junction
JCTS,junctions
KY,key
KYS,keys
KNL,knoll
KNLS,knolls
LK,lake
LKS,lakes
LAND,land
LNDG,landing
LN,lane
LGT,light
LGTS,lights
LF,loaf
LCK,lock
LCKS,locks
LDG,lodge
LOOP,loop
MALL,mall
MNR,manor
MNRS,manors
MDW,meadow
MDWS,meadows
MEWS,mews
ML,mill
MLS,mills
MSN,mission
MTWY,motorway
MT,mount
MTN,mountain
MTNS,mountains
NCK,neck
ORCH,orchard
OVAL,oval
OPAS,overpass
PARK,park
PARK,parks
PKWY,parkway
PKWY,parkways
PASS,pass
PSGE,passage
PATH,path
PIKE,pike
PNE,pine
PNES,pines
PL,place
PLN,plain
PLNS,plains
PLZ,plaza
PT,point
PTS,points
PRT,port
PRTS,ports
PR,prairie
RADL,radial
RAMP,ramp
RNCH,ranch
RPD,rapid
RPDS,rapids
RST,rest
RDG,ridge
RDGS,ridges
RIV,river
RD,road
RDS,roads
RTE,route
ROW,row
RUE,rue
RUN,run
SHL,shoal
SHLS,shoals
SHR,shore
SHRS,shores
SKWY,skyway
SPG,spring
SPGS,springs
SPUR,spur
SPUR,spurs
SQ,square
SQS,squares
STA,station
STRA,stravenue
STRM,stream
ST,street
STS,streets
SMT,summit
TER,terrace
TRWY,throughway
TRCE,trace
TRAK,track
TRFY,trafficway
TRL,trail
TRLR,trailer
TUNL,tunnel
TPKE,turnpike
UPAS,underpass
UN,union
UNS,unions
VLY,valley
VLYS,valleys
VIA,viaduct
VW,view
VWS,views
VLG,village
VLGS,villages
VL,ville
VIS,vista
WALK,walk
WALK,walks
WALL,wall
WAY,way
WAYS,ways
WL,well
WLS,wells
